id, plugin, channels, irlen, spl, measure, screenshot, X, time, elapsed, remaining
1, new, 16, 100ms, 1024, 1, Screenshot (168).png, 36.3, 0:08, elapsed:, remaining:
1, new, 16, 100ms, 1024, 2, Screenshot (169).png, 36.7, 0:16, elapsed:, remaining:
1, old, 16, 100ms, 1024, 1, Screenshot (170).png, 25.0, 0:24, elapsed:, remaining:
1, old, 16, 100ms, 1024, 2, Screenshot (171).png, 23.6, 0:25, elapsed:, remaining:
2, new, 16, 200ms, 1024, 1, Screenshot (172).png, 32.5, 0:09, elapsed:, remaining:
2, new, 16, 200ms, 1024, 2, Screenshot (173).png, 32.1, 0:09, elapsed:, remaining:
2, old, 16, 200ms, 1024, 1, Screenshot (174).png, 18.8, 0:15, elapsed:, remaining:
2, old, 16, 200ms, 1024, 2, Screenshot (175).png, 18.8, 0:15, elapsed:, remaining:
3, new, 16, 500ms, 1024, 1, Screenshot (176).png, 24.2, 0:12, elapsed:, remaining:
3, new, 16, 500ms, 1024, 2, Screenshot (177).png, 23.7, 0:12, elapsed:, remaining:
3, old, 16, 500ms, 1024, 1, Screenshot (178).png, 11.2, 0:26, elapsed:, remaining:
3, old, 16, 500ms, 1024, 2, Screenshot (179).png, 11.4, 0:26, elapsed:, remaining:
4, new, 16, 1s, 1024, 1, Screenshot (180).png, 15.2, 0:19, elapsed:, remaining:
4, new, 16, 1s, 1024, 2, Screenshot (181).png, 15.3, 0:19, elapsed:, remaining:
4, old, 16, 1s, 1024, 1, Screenshot (182).png, 6.8, 0:43, elapsed:, remaining:
4, old, 16, 1s, 1024, 2, Screenshot (183).png, 6.8, 0:43, elapsed:, remaining:
5, new, 16, 2s, 1024, 1, Screenshot (184).png, 6.8, 0:43, elapsed:, remaining:
5, new, 16, 2s, 1024, 2, Screenshot (185).png, 6.9, 0:43, elapsed:, remaining:
5, old, 16, 2s, 1024, 1, Screenshot (186).png, 3.7, 0:16, elapsed:, remaining:
5, old, 16, 2s, 1024, 2, Screenshot (187).png, 3.6, 0:16, elapsed:, remaining:
6, new, 16, 5s, 1024, 1, Screenshot (188).png, 1.6, 0:37, elapsed:, remaining:
